Team: ,Conference
North Carolina,ACC
Notre Dame,ACC
Florida State,ACC 
Creighton,Big East
Illinois,Big Ten
Indiana,Big Ten
Maryland,Big Ten
Michigan State,Big Ten
Minnesota,Big Ten
Nebraska ,Big Ten
Ohio State,Big Ten
Penn State,Big Ten
Purdue ,Big Ten
Wisconsin,Big Ten
Baylor,Big 12
Kansas,BIG 12
TCU,Big 12
Texas,Big 12
Arizona,Pac 12
California,Pac 12
Colorado,Pac 12
Oregon,Pac 12
Standford ,Pac 12
UCLA,Pac 12
USC,Pac 12
Utah,Pac 12
Washington,Pac 12
Auburn,SEC
Florida ,SEC
Kentucky,SEC
LSU,SEC
BYU,WCC 