Team,,,,,,,,,,,,,,,,
Year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,... 26
2017,Texas,Wisconsin,UCLA ,Minnesota,Kentucky,Nebraska,Illinois,Florida State,Michigan State,Maryland,Utah,Arizona,BYU ,Ohio State,California,
2018,Penn State,Florida,Washington,Oregon,Nebraska,Texas,Auburn,BYU,North Carolina,Creighton,UCLA,Michigan,Purdue,Minnesota,Michigan State,
2019,Stanford,Nebraska,Texas,BYU,Ohio State,TCU,Oregon,Purdue,USC,Colorado,Baylor,Kansas,LCU,Penn State,Illinois,
2020,Kentucky,Minnesota,Texas,Wisconsin,Michigan,Ohio State,Florida,Stanford,Arizona,Notre Dame,Kansas,UCLA,Michigan State,BYU,Indiana,Nebraska
2021,Nebraska,Stanford,Kentucky,Penn State,Creighton,BYU,USC,Minnesota ,Baylor,Purdue,Ohio State,Kansas,Notre Dame,UCLA,Florida State,
,,,,,,,,,,,,,,,,
Conference,,,,,,,,,,,,,,,,
Year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,... 26
2017,Big XII ,Big Ten,Pac 12 ,Big Ten,SEC,Big Ten,Big Ten,ACC ,Big Ten,Big Ten,Pac 12,Pac 12 ,WCC ,Big Ten,Pac 12,
2018,Big Ten,SEC,Pac 12 ,Pac 12,Big Ten,Big XII,SEC,WCC,ACC,Big East,Pac 12,Big Ten,Big Ten,Big Ten,Big Ten,
2019,Pac 12,Big Ten,Big XII,WCC,Big Ten,Big XII,Pac 12,Big Ten,Pac 12,Pac 12,Big XII,Big Xii,SEC,Big Ten,Big Ten,
2020,SEC,Big Ten,Big XII,Big Ten,Big Ten,Big Ten,SEC,Pac 12,Pac 12,ACC,Big XII,Pac 12 ,Big Ten,WCC,Big Ten,Big Ten
2021,Big Ten,Pac 12,SEC,Big Ten,Big East,WCC ,Pac 12,Big Ten,Big XII,Big Ten,Big Ten,Big XII,ACC,Pac 12 ,ACC,