Year,Rank,Team,Conference,PrimaryColor,SecondaryColor
2020,1,Kentucky,SEC,#0033a0,#000000
2020,2,Minnesota,Big Ten,#7a0019,#ffcc33
2020,3,Texas,Big 12,#bf5700,#333f48
2020,4,Wisconsin,Big Ten,#c5050c,#ffffff
2020,5,Michigan,Big Ten,#00274c,#ffcb05
2020,6,Ohio State,Big Ten,#bb0000,#666666
2020,7,Florida,SEC,#fa4616,#0021a5
2020,8,Stanford,Pac 12,#8c1515,#4d4f53
2020,9,Arizona,Pac 12,#cc0033,#003366
2020,10,Notre Dame,ACC,#0c2340,#c99700
2020,11,Kansas,Big 12,#0051ba, #e8000d
2020,12,UCLA,Pac 12,#2d68c4,#f2a900
2020,13,Michigan State,Big Ten ,#18453b,#ffffff
2020,14,BYU,WCC,#002e5d,#0062b8
2020,15,Indiana,Big Ten,#990000,#eeedeb
2020,26,Nebraska,Big Ten,#e41c38,#fdf2d9